"","a","b","c","classificacoes",,
"114",0.441487312570253,0.233064882860938,0.00470240706056013,3,69,
"115",0.453863824968647,0.232910966512119,0.183003514804588,3,70,
"116",0.431819518184589,0.219753923244675,0.234118624765228,1,71,
"117",0.481815844657591,0.234830081830454,0.206588268224809,1,72,
"118",0.464124068303091,0.234211960888394,0.124370144178673,3,73,
"119",0.428963488826589,0.224860364059351,0.409041564274034,1,74,
"120",0.452675095882388,0.23305489479832,0.235092806664952,1,75,
"121",0.450362394992479,0.235271646982448,0.1877389897459,3,76,
"122",0.430845799497032,0.223089030415233,0.139916040595951,3,77,
"123",0.449872054222187,0.236227733347517,0.168831146816633,3,78,
"124",0.468292942650641,0.235535699601495,0.0890065597568154,3,79,
"125",0.428029753993621,0.223335217335384,0.211123051413299,1,80,
"126",0.441669372445445,0.239053735320186,0.192912225577004,3,81,
"127",0.453814802795512,0.236549462715013,0.167852214100124,3,82,
"128",0.449238366771682,0.236438544569262,0.223243356657145,1,83,
"129",0.443320349576884,0.234234782185325,0.222274660758272,1,84,
"130",0.437309156107696,0.275321018327143,0.12474263117862,3,85,
"131",0.453409360397815,0.233046777688822,0.258005130544613,1,86,
"132",0.443103715206711,0.233889993938973,0.0852986666031951,3,87,
"133",0.443504364115643,0.235782866573095,0.303311269763705,1,88,
"134",0.43625121946319,0.114579323214611,0.0943318874161767,3,89,
"135",0.450619068546359,0.232258567745165,0.169284992995093,3,90,2013
"136",0.441687787125731,0.229429680245602,0.0570752953982601,3,46,2012
"137",0.452061631067651,0.232425525657569,0.288215354748143,1,47,
"138",0.441746392798955,0.228226408522866,0.0190695532550091,2,48,
"139",0.447733101125447,0.232664509406162,0.155709377319469,3,49,
"140",0.449692619679239,0.233524906784792,0.0706346133258507,3,50,
"141",0.453762166917942,0.232357087765111,0.287922144205441,1,51,
"142",0.444999498082047,0.234729626614803,0.204210369284756,1,52,
"143",0.457703490742917,0.23399481897809,0.179007584177212,3,53,
"144",0.447086371251654,0.233675826780615,0.17316254177664,3,54,
"145",0.449766894538262,0.236196765750518,0.235550568492776,1,55,
"146",0.452250307502371,0.232848621996604,0.239243473421091,1,56,
"147",0.456186421551145,0.233069478277456,0.183468741826711,3,57,
"148",0.459879542279971,0.234484917096059,0.179695208959729,3,58,
"149",0.457142248508884,0.235372349400517,0.19970339689059,3,59,
"150",0.451498911395574,0.233161882497952,0.174452049056972,3,60,
"151",0.438237294893065,0.254605863853044,0.000436788513147718,3,61,
"152",0.462179005606668,0.235471027045922,0.337059206263013,1,62,
"153",0.445839058582151,0.234003886275541,0.154747693053728,3,63,
"154",0.448986523384033,0.232433747852816,0.301135224898722,1,64,
"155",0.451169742112409,0.236063542346827,0.158535726636643,3,65,
"156",0.469044098925868,0.234832459823893,0.277936453207858,1,66,
"157",0.44598371445116,0.23368328539571,0.343152226906202,1,67,
"158",0.439807166860759,0.238840855567394,0.0080554564677954,3,68,
